Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02HD009,2024-05-09T14:02:00,-5,Stage/Niveau d'eau,3.58,,,,,,,,,HG: 3.580 No Reset (NR),,,,,,Provisional/Provisoire,
02HD009,2024-05-09T13:32:00,-5,Stage/Niveau d'eau,3.58,,,,,,,,,HG: 3.581 No Reset (NR),,,,,,Provisional/Provisoire,
02HD009,2024-05-01T14:18:00,-5,Stage/Niveau d'eau,3.574,,,,,,,,,HG: 3.570 Reset (RS),,,,,,Provisional/Provisoire,
02HD009,2024-04-13T15:33:00,-5,Stage/Niveau d'eau,3.75,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
02HD009,2024-04-13T15:30:30,-5,Discharge/Débit,,3.75,3.82,19.0,-0.0373,-0.17959999,0.0117,"Measurement condition : Clear; Cloudy , No Precipitation , Moderate Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",11.6,4.26,0.896,5.0,6.6,Provisional/Provisoire,5.69
02HD009,2024-04-13T15:11:00,-5,Stage/Niveau d'eau,3.749,,,,,,,,,GC: 0.000 HG: 3.745,,,,,,Provisional/Provisoire,
02HD009,2024-04-12T16:48:00,-5,Stage/Niveau d'eau,4.206,,,,,,,,,GC: 0.000 HG: 4.214,,,,,,Provisional/Provisoire,
02HD009,2024-04-12T16:30:00,-5,Discharge/Débit,,4.21,15.0,19.0,-0.132,-0.3149,-0.00059999997,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Blowing Cross Stream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",9.32,9.45,1.59,7.0,10.0,Provisional/Provisoire,4.4
02HD009,2024-04-12T16:00:00,-5,Stage/Niveau d'eau,4.216,,,,,,,,,GC: 0.000 HG: 4.222 No Reset (NR),,,,,,Provisional/Provisoire,
02HD009,2024-03-10T17:53:00,-5,Stage/Niveau d'eau,3.63,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
02HD009,2024-03-10T17:38:00,-5,Discharge/Débit,,3.632,1.72,19.0,-0.0216,-0.1705,-0.0427,"Measurement condition : Clear; Mostly Cloudy , Light Snow ,  ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",11.6,3.02,0.57,1.0,4.0,Provisional/Provisoire,13.6
02HD009,2024-03-10T17:20:00,-5,Stage/Niveau d'eau,3.633,,,,,,,,,GC: 0.000 HG: 3.634 No Reset (NR),,,,,,Provisional/Provisoire,
02HD009,2024-03-09T20:50:00,-5,Stage/Niveau d'eau,3.759,,,,,,,,,GC: 0.000 HG: 3.762 No Reset (NR),,,,,,Provisional/Provisoire,
02HD009,2024-03-09T20:31:00,-5,Discharge/Débit,,3.754,3.55,19.0,-0.0519,-0.24260001,0.0007,"Measurement condition : Clear; Mostly Cloudy ,  ,  ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",9.05,4.72,0.751,7.0,5.7,Provisional/Provisoire,3.52
02HD009,2024-03-09T20:20:00,-5,Stage/Niveau d'eau,3.755,,,,,,,,,HG: 3.753 DWL,,,,,,Provisional/Provisoire,
02HD009,2024-03-09T20:08:00,-5,Stage/Niveau d'eau,3.749,,,,,,,,,GC: 0.000 HG: 3.750 Found (FD),,,,,,Provisional/Provisoire,
02HD009,2024-01-31T14:01:00,-5,Stage/Niveau d'eau,3.581,,,,,,,,,HG: 3.461 Reset (RS),,,,,,Provisional/Provisoire,
02HD009,2024-01-08T20:21:00,-5,Stage/Niveau d'eau,3.527,,,,,,,,,GC: 0.000 HG: 3.527 No Reset (NR),,,,,,Final/Finales,
02HD009,2024-01-08T20:00:30,-5,Discharge/Débit,,3.527,0.66,19.0,-0.00827,-0.0953,0.009,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",5.75,1.46,0.453,3.0,3.0,Final/Finales,5.02
02HD009,2024-01-08T19:35:00,-5,Stage/Niveau d'eau,3.527,,,,,,,,,GC: 0.000 HG: 3.533 Reset (RS),,,,,,Final/Finales,
02HD009,2023-10-24T16:02:00,-5,Stage/Niveau d'eau,3.512,,,,,,,,,GC: 0.000 HG: 3.515,,,,,,Final/Finales,
02HD009,2023-10-24T16:01:30,-5,Discharge/Débit,,3.512,0.538,19.0,-0.00933,-0.11350001,-0.0043,"Measurement condition : Debris; Clear , No Precipitation , Calm Wind ",Some leaves on control. Clearing after measurement. ,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",7.2,3.34,0.161,,8.5,Final/Finales,5.99
02HD009,2023-10-24T15:35:00,-5,Stage/Niveau d'eau,3.512,,,,,,,,,GC: 0.000 HG: 3.515 No Reset (NR),,,,,,Final/Finales,
02HD009,2023-08-16T15:43:00,-5,Stage/Niveau d'eau,3.518,,,,,,,,,GC: 0.000 HG: 3.518 No Reset (NR),,,,,,Final/Finales,
02HD009,2023-08-16T15:31:00,-5,Discharge/Débit,,3.518,0.555,19.0,-0.013,-0.1515,-0.0498,"Measurement condition : Clear; Clear , No Precipitation ,  ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",8.0,2.51,0.221,24.0,16.0,Final/Finales,5.36
02HD009,2023-08-16T14:49:00,-5,Stage/Niveau d'eau,3.517,,,,,,,,,GC: 0.000 HG: 3.517 No Reset (NR),,,,,,Final/Finales,
02HD009,2023-06-15T14:57:00,-5,Stage/Niveau d'eau,3.551,,,,,,,,,GC: 0.000 HG: 3.551,,,,,,Final/Finales,
02HD009,2023-06-15T14:53:00,-5,Stage/Niveau d'eau,3.551,,,,,,,,,GC: 0.000 HG: 3.546 Reset (RS),,,,,,Final/Finales,
02HD009,2023-06-15T14:34:30,-5,Discharge/Débit,,3.552,0.852,19.0,-0.0116,-0.1205,-0.029000001,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",8.5,3.05,0.279,20.0,13.0,Final/Finales,4.54
02HD009,2023-06-15T13:59:00,-5,Stage/Niveau d'eau,3.552,,,,,,,,,GC: 0.000 HG: 3.546,,,,,,Final/Finales,
02HD009,2023-05-09T18:45:00,-5,Stage/Niveau d'eau,3.57,,,,,,,,,GC: 0.000 HG: 3.568,,,,,,Final/Finales,
02HD009,2023-05-09T18:19:00,-5,Discharge/Débit,,3.57,1.1,19.0,-0.00602,-0.059899997,0.031600002,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",10.6,2.17,0.508,18.0,11.0,Final/Finales,8.81
02HD009,2023-05-09T18:01:00,-5,Stage/Niveau d'eau,3.569,,,,,,,,,GC: 0.000 HG: 3.568 Flushed (FL),,,,,,Final/Finales,
02HD009,2023-04-01T17:43:00,-5,Stage/Niveau d'eau,3.988,,,,,,,,,GC: 0.000 HG: 3.988,,,,,,Final/Finales,
02HD009,2023-04-01T17:22:30,-5,Discharge/Débit,,4.013,9.65,19.0,-0.0645,-0.2058,0.0,"Measurement condition : Clear; Clear , No Precipitation ,  ",clear,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @  Manually added Q from ditch inflow FT2 measurement. ADCP by Moving Boat",9.59,8.26,1.17,,4.0,Final/Finales,4.6
02HD009,2023-04-01T16:45:00,-5,Stage/Niveau d'eau,4.037,,,,,,,,,GC: 0.000 HG: 4.037 No Reset (NR),,,,,,Final/Finales,
02HD009,2023-03-21T19:06:00,-5,Stage/Niveau d'eau,3.626,,,,,,,,,GC: 0.000 HG: 3.626,,,,,,Final/Finales,
02HD009,2023-03-21T18:47:30,-5,Discharge/Débit,,3.626,1.55,19.0,-0.027,-0.21350001,-0.0001,"Measurement condition : Clear; Cloudy , No Precipitation , Very Light Wind ",No Ice,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",9.75,3.81,0.406,5.0,4.7,Final/Finales,14.6
02HD009,2023-03-21T18:41:00,-5,Stage/Niveau d'eau,3.625,,,,,,,,,GC: 0.000 HG: 3.625,,,,,,Final/Finales,
02HD009,2023-03-21T18:38:00,-5,Stage/Niveau d'eau,3.625,,,,,,,,,GC: 0.000 HG: 3.630 Reset (RS),,,,,,Final/Finales,
02HD009,2023-01-18T16:01:00,-5,Stage/Niveau d'eau,3.555,,,,,,,,,GC: 0.000 HG: 3.558,,,,,,Final/Finales,
02HD009,2023-01-18T15:46:30,-5,Discharge/Débit,,3.555,0.805,19.0,-0.0196,-0.19549999,0.015700001,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Light Wind Blowing Downstream",No Ice,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",8.0,4.39,0.183,2.0,2.0,Final/Finales,5.18
02HD009,2023-01-18T15:30:00,-5,Stage/Niveau d'eau,3.555,,,,,,,,,GC: 0.000 HG: 3.556 No Reset (NR),,,,,,Final/Finales,
